custid  totalsalesamount ordersAll
------ ----------------- ---------------------------------------------------------------------

2	1402,95		10308, 10308, 10625, 10625, 10625, 10759, 10926, 10926, 10926, 10926
12	1814,80		10521, 10521, 10521, 10782, 10819, 10819, 10881, 10937, 10937, 11054, 11054
13	100,80		10259, 10259
16	1719,10		10435, 10435, 10435, 10462, 10462, 10848, 10848
18	1615,90		10311, 10311, 10609, 10609, 10609, 10683, 10890, 10890, 10890
27	1545,70		10422, 10710, 10710, 10753, 10753, 10807, 11026, 11026, 11060, 11060
29	836,70		10366, 10366, 10426, 10426, 10568, 10887, 10928, 10928
33	1488,70		10268, 10268, 10785, 10785
40	1992,05		10858, 10858, 10858, 10927, 10927, 10927, 10972, 10972, 10973, 10973, 10973
42	522,50		10495, 10495, 10495, 10620, 10620, 10810, 10810, 10810
43	357,00		10482, 10545
53	649,00		10517, 10517, 10517, 10752, 10752, 11057
69	1467,29		10281, 10281, 10281, 10282, 10282, 10306, 10306, 10306, 10917, 10917, 11013, 11013, 11013, 11013
78	1947,24		10624, 10624, 10624, 10775, 10775, 11003, 11003, 11003
82	1571,20		10574, 10574, 10574, 10574, 10577, 10577, 10577, 10822, 10822
85	1480,00		10248, 10248, 10248, 10274, 10274, 10295, 10737, 10737, 10739, 10739

(16 row(s) affected)
